से	no	से	no		
उत्तराधिकारी	pēctecis	उत्तराधिकारी	pēctecis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एयरलाइंस	aviosabiedrības	एयरलाइन	aviosabiedrība	N;NOM;FEM;PL;3	N;NOM;FEM;PL
एयरलाइंस	aviokompānijas	एयरलाइन	aviokompānija	N;NOM;FEM;PL;3	N;NOM;FEM;PL
एयरलाइंस	airlines	एयरलाइन	airline	N;NOM;FEM;PL;3	N;NOM;FEM;PL
एयरलाइंस	aviolīnijas	एयरलाइन	aviolīnija	N;NOM;FEM;PL;3	N;NOM;FEM;PL
अवैध	nederīgs	अवैध	nederīgs	ADJ;NOM	ADJ;NOM;MASC;SG
अवैध	nepareizs	अवैध	nepareizs	ADJ;NOM	ADJ;NOM;MASC;SG
अवैध	nederīga	अवैध	nederīga	ADJ;NOM	ADJ;NOM;FEM;SG
जीवाणु	baktērija	जीवाणु	baktērija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तैयारी	pagatavošana	तैयारी	pagatavošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तैयारी	preparāts	तैयारी	preparāts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तैयारी	sagatavošana	तैयारी	sagatavošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तैयारी	gatavošanās	तैयारी	gatavošanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तैयारी	sagatavošanās	तैयारी	sagatavošanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तैयारी	sagatavošana	तैयारी	sagatavošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सिंचाई	apūdeņošanas	सिंचाई	apūdeņošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहलू	aspekts	पहलू	aspekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रोजगार	nodarbinātība	रोजगार	nodarbinātība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोजगार	nodarbinātības	रोजगार	nodarbinātība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कान	auss	कान	auss	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बनवाया	celta	बन	celt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
बनवाया	būvēts	बन	būvēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनवाया	uzbūvēts	बन	uzbūvēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनवाया	veidots	बन	veidot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनवाया	būvēta	बन	būvēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
फैल	izplatīties	फैल	izplatīties	V;ACT	V;POS;REFL;NFIN
शांत	skaidrā	शांत	skaidrs	ADJ	ADJ;ESS;FEM;SG
शांत	mierīgs	शांत	mierīgs	ADJ	ADJ;NOM;MASC;SG
शांत	mierīga	शांत	mierīga	ADJ	ADJ;NOM;FEM;SG
शांत	kluss	शांत	kluss	ADJ	ADJ;NOM;MASC;SG
शांत	klusa	शांत	klusa	ADJ	ADJ;NOM;FEM;SG
सौंदर्य	skaistule	सौंदर्य	skaistule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सौंदर्य	skaistums	सौंदर्य	skaistums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चीज़	siers	चीज़	siers	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रोग्रामिंग	plānošana	प्रोग्रामिंग	plānošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वकील	juristi	वकील	jurists	N;NOM;MASC;PL;3	N;NOM;MASC;PL
वकील	advokāti	वकील	advokāte	N;NOM;MASC;PL;3	N;NOM;MASC;PL
परिपथ	kalkulators	परिपथ	kalkulators	N;NOM;MASC;SG;3	N;NOM;MASC;SG
यूनियन	savienība	यूनियन	savienība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बच	izdzīvoja	बच	izdzīvot	V;ACT	V;FH;IND;3;POS;PST;FIN;ACT
उर्जा	enerģētika	उर्जा	enerģētika	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उर्जा	enerģija	उर्जा	enerģija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सोसायटी	sabiedrība	सोसायटी	sabiedrība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
छोड़ने	metot	छोड़	mest	V;NFIN;ACT	V;V.CVB
सेनानी	cīnītājs	सेनानी	cīnītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रणनीति	stratēģija	रणनीति	stratēģija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बुलाया	saucās	बुला	saukties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
बुलाया	saukts	बुला	saukt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
शत्रु	pretinieks	शत्रु	pretinieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शत्रु	ienaidnieks	शत्रु	ienaidnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एक्शन	rīcība	एक्शन	rīcība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आयात	imports	आयात	imports	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मास्टर	kapteinis	मास्टर	kapteinis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मास्टर	meistars	मास्टर	meistars	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मास्टर	saimnieks	मास्टर	saimnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तस्वीर	attēls	तस्वीर	attēls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तस्वीर	bilde	तस्वीर	bilde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सच	patiesība	सच	patiesība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सच	taisnība	सच	taisnība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सच	patiesība	सच	patiesība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्राधिकरण	iestāde	प्राधिकरण	iestāde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्राधिकरण	atļauja	प्राधिकरण	atļauja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गाना	dziesma	गाना	dziesma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वेतन	alga	वेतन	alga	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आखिरी	pēdējo	आखिरी	pēdējais	ADJ	ADJ;ACC;MASC;SG
आखिरी	pēdējais	आखिरी	pēdējs	ADJ	ADJ;NOM;MASC;SG
आखिरी	pēdējā	आखिरी	pēdējā	ADJ	ADJ;NOM;FEM;SG
आखिरी	pēdējās	आखिरी	pēdējā	ADJ	ADJ;NOM;FEM;PL
धूम्रपान	smēķēšana	धूम्रपान	smēķēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ब्याज	interese	ब्याज	interese	N;NOM;MASC;SG;3	N;NOM;FEM;SG
घोड़े	zirgi	घोड़ा	zirgs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
लेखा	grāmatvedība	लेखा	grāmatvedība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लेखा	uzskaite	लेखा	uzskaite	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऊतक	audi	ऊतक	auds	N;NOM;MASC;SG;3	N
रात्रि	nakts	रात्रि	nakts	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बेस	pamatne	बेस	pamatne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बेस	pamats	बेस	pamats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बेस	bāze	बेस	bāze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फलन	amats	फलन	amats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
फलन	funkcija	फलन	funkcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चोटी	kalngals	चोटी	kalngals	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सफलतापूर्वक	sekmīgi	सफलतापूर्वक	sekmīgi	ADV	ADV
सफलतापूर्वक	veiksmīgi	सफलतापूर्वक	veiksmīgi	ADV	ADV
ऊष्मा	karstums	ऊष्मा	karstums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ऊष्मा	siltums	ऊष्मा	siltums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ऊष्मा	siltums	ऊष्मा	siltums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रेस	rase	रेस	rase	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रेस	skrējiens	रेस	skrējiens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रोत्साहन	stimuls	प्रोत्साहन	stimuls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रोत्साहन	stimula	प्रोत्साहन	stimuls	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मामला	gadījums	मामला	gadījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मामला	lieta	मामला	lieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बनावट	konsistence	बनावट	konsistence	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आवेदन	piemērošana	आवेदन	piemērošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आवेदन	pieteikums	आवेदन	pieteikums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कमाई	peļņa	कमाई	peļņa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उठाने	audzina	उठा	audzināt	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
गहन	dziļa	गहन	dziļa	ADJ;NOM	ADJ;NOM;FEM;SG
गहन	dziļā	गहन	dziļš	ADJ;NOM	ADJ;NOM;FEM;SG
गहन	dziļš	गहन	dziļš	ADJ;NOM	ADJ;NOM;MASC;SG
बाघ	tīģeris	बाघ	tīģeris	N;NOM;MASC;SG;3	N;NOM;MASC;SG
टिकट	biļete	टिकट	biļete	N;NOM;MASC;SG;3	N;NOM;FEM;SG
राजशाही	monarhija	राजशाही	monarhija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिलान	saskaņošana	मिलान	saskaņošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिलान	atbilstība	मिलान	atbilstība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिलान	sakritība	मिलान	sakritība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रावधान	noteikums	प्रावधान	noteikums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सदस्यता	dalība	सदस्यता	dalība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सदस्यता	parakstīšanās	सदस्यता	parakstīšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सदस्यता	pieraksts	सदस्यता	pieraksts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रिकार्ड	rekords	रिकार्ड	rekords	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रिकार्ड	ieraksts	रिकार्ड	ieraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्वतन्त्रता	neatkarība	स्वतन्त्रता	neatkarība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सापेक्ष	radinieks	सापेक्ष	radinieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विफल	neveiksmīga	विफल	neveiksmīga	ADJ	ADJ;NOM;FEM;SG
आग्रह	pieprasījums	आग्रह	pieprasījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आग्रह	lūgums	आग्रह	lūgums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारोबार	bizness	कारोबार	bizness	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारोबार	uzņēmējdarbība	कारोबार	uzņēmējdarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऋग्वेद	rigvēda	ऋग्वेद	rigvēds	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रिंग	gredzens	रिंग	gredzens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ऑपरेशन	darbība	ऑपरेशन	darbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऑपरेशन	operācija	ऑपरेशन	operācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऑपरेशन	ekspluatācija	ऑपरेशन	ekspluatācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आपसी	abpusēja	आपसी	abpusēja	ADJ;NOM	ADJ;NOM;FEM;SG
आपसी	savstarpēja	आपसी	savstarpēja	ADJ;NOM	ADJ;NOM;FEM;SG
छूट	atlaide	छूट	atlaide	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बाधा	šķērslis	बाधा	šķērslis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
समतल	plakne	समतल	plakne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समतल	lidmašīna	समतल	lidmašīna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बस्ती	pilsēta	बस्ती	pilsēta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वर्ग	paradīze	स्वर्ग	paradīze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्वर्ग	paradīze	स्वर्ग	paradīze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रोटोकॉल	protokols	प्रोटोकॉल	protokols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गणतंत्र	republika	गणतंत्र	republika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आत्महत्या	pašnāvība	आत्महत्या	pašnāvība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मतभेद	atšķirības	मतभेद	atšķirība	N;NOM;MASC;PL;3	N;NOM;FEM;PL
अतिथि	viesis	अतिथि	viesis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लें	ņemt	ले	ņemt	V;SBJV;PL;3;FIN;ACT	V;POS;NFIN
शानदार	izcils	शानदार	izcils	ADJ	ADJ;NOM;MASC;SG
शानदार	izcila	शानदार	izcils	ADJ	ADJ;NOM;FEM;SG
शानदार	lieliskas	शानदार	lieliska	ADJ	ADJ;NOM;FEM;PL
डाक	pasta	डाक	pasts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रतिद्वंद्वी	pretinieks	प्रतिद्वंद्वी	pretinieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तरंग	vilnis	तरंग	vilnis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तरंग	viļņa	तरंग	viļņa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उठाया	izvirzīja	उठा	izvirzīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
अंतराल	intervāls	अंतराल	intervāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पेटेंट	patents	पेटेंट	patents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तत्काल	tūlīt	तत्काल	tūlīt	ADV	ADV
तत्काल	uzreiz	तत्काल	uzreiz	ADV	ADV
तत्काल	tūlītēji	तत्काल	tūlītējs	ADV	ADV
तत्काल	steidzīgi	तत्काल	steidzīgi	ADV	ADV
चित्रकला	krāsošana	चित्रकला	krāsošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चित्रकला	zīmēšana	चित्रकला	zīmēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चित्रकला	glezna	चित्रकला	glezna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चैंपियनशिप	čempionāts	चैंपियनशिप	čempionāts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रहकर	uzturas	रह	uzturēties	V;V.CVB	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
जर्नल	dienasgrāmata	जर्नल	dienasgrāmata	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खोला	atvērts	खोल	atvērts	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
खोला	atvērta	खोल	atvērt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
भाप	tvaika	भाप	tvaika	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गलती	kļūda	गलती	kļūda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भ्रूण	auglis	भ्रूण	auglis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चेक	čehu	चेक	čehs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चेक	čeks	चेक	čeks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
राग	melodija	राग	melodija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सम्प्रदाय	sekta	सम्प्रदाय	sekts	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ख्याति	slava	ख्याति	slava	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बादशाह	karalis	बादशाह	karalis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बादशाह	ķēniņš	बादशाह	ķēniņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ट्रस्ट	uzticēšanās	ट्रस्ट	uzticēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ट्रस्ट	uzticība	ट्रस्ट	uzticība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रस्तुति	prezentācija	प्रस्तुति	prezentācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रस्तुति	noformējums	प्रस्तुति	noformējums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
खतरनाक	bīstamas	खतरनाक	bīstama	ADJ	ADJ;NOM;FEM;PL
खतरनाक	bīstams	खतरनाक	bīstams	ADJ	ADJ;NOM;MASC;SG
खतरनाक	bīstama	खतरनाक	bīt	ADJ	ADJ;NOM;FEM;SG
खतरनाक	bīstamā	खतरनाक	bīstams	ADJ	ADJ;NOM;FEM;SG
त्यौहार	festivāls	त्यौहार	festivāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
देखना	skatīties	देख	skatīties	V;MASC;NFIN;ACT	V;POS;REFL;NFIN
देखना	skaties	देख	skatīties	V;MASC;NFIN;ACT	V;IMP;SG;2;POS;REFL;FIN;ACT
माँग	pieprasījums	माँग	pieprasījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
महारानी	dāma	महारानी	dāma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
महारानी	karaliene	महारानी	karaliene	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निरीक्षण	apskate	निरीक्षण	apskate	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निरीक्षण	pārbaude	निरीक्षण	pārbaude	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निरीक्षण	inspekcija	निरीक्षण	inspekcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जिम्मेदारी	atbildība	जिम्मेदारी	atbildība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रंगमंच	teātris	रंगमंच	teātris	N;NOM;MASC;SG;3	N;NOM;MASC;SG
त्रुटि	kļūda	त्रुटि	kļūda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऊँची	augstā	ऊँचा	augsts	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
ऊँची	augsts	ऊँचा	augsts	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
ऊँची	augsta	ऊँचा	augsts	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
ज्यामिति	ģeometrija	ज्यामिति	ģeometrija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बेटा	dēls	बेटा	dēls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उपमहाद्वीप	subkontinents	उपमहाद्वीप	subkontinents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चौथा	ceturtais	चौथा	ceturtais	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
चौथा	ceturtā	चौथा	ceturtais	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
पड़ोसी	kaimiņš	पड़ोसी	kaimiņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पड़ोसी	kaimiņvalsts	पड़ोसी	kaimiņvalsts	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पड़ोसी	kaimiņš	पड़ोसी	kaimiņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गाया	dziedāja	गा	dziedāt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
भ्रम	apjukums	भ्रम	apjukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भ्रम	ilūzija	भ्रम	ilūzija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
राजनेता	politiķi	राजनेता	politiķis	N;NOM;MASC;PL;3	N;NOM;MASC;PL
भिन्नता	starpība	भिन्नता	starpība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भिन्नता	atšķirība	भिन्नता	atšķirība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सारणी	galds	सारणी	galds	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सारणी	galdiņš	सारणी	galdiņš	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सारणी	tabula	सारणी	tabuls	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नाभिकीय	kodolenerģijas	नाभिकीय	kodolenerģija	N;NOM;MASC	N;NOM;FEM;PL
नाभिकीय	kodolenerģija	नाभिकीय	kodolenerģija	N;NOM;MASC	N;NOM;FEM;SG
लिखना	raksta	लिख	rakstīt	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
लिखना	rakstot	लिख	rakstīt	V;MASC;NFIN;ACT	V;V.CVB
पाप	grēks	पाप	grēks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्वचालित	automātiska	स्वचालित	automātiska	ADJ;NOM	ADJ;NOM;FEM;SG
स्वचालित	automātiskā	स्वचालित	automātisks	ADJ;NOM	ADJ;NOM;FEM;SG
स्वचालित	automātiskais	स्वचालित	automātisks	ADJ;NOM	ADJ;NOM;MASC;SG
स्वचालित	automātisks	स्वचालित	automātisks	ADJ;NOM	ADJ;NOM;MASC;SG
खेत	saimniecība	खेत	saimniecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खेत	audzētava	खेत	audzētava	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खेत	ferma	खेत	ferma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दर्शक	auditorijas	दर्शक	auditorija	N;NOM;MASC;PL;3	N;NOM;FEM;PL
दर्शक	skatītāji	दर्शक	skatītājs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
दर्शक	skatītāji	दर्शक	skatītājs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
इनपुट	ievade	इनपुट	ievade	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बैटरी	baterija	बैटरी	baterija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बैटरी	akumulators	बैटरी	akumulators	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कहानियाँ	stāsti	कहानी	stāsts	N;NOM;FEM;PL;3	N;NOM;MASC;PL
सम्पर्क	kontakts	संपर्क	kontakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्यवाही	tiesvedība	कार्यवाही	tiesvedība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आतंकवाद	terorisms	आतंकवाद	terorisms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिस्थिति	situācija	परिस्थिति	situācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिस्थिति	stāvoklis	परिस्थिति	stāvoklis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परिस्थिति	apstāklis	परिस्थिति	apstāklis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लोकतंत्र	demokrātija	लोकतंत्र	demokrātija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपलब्धि	sasniegums	उपलब्धि	sasniegums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
उपलब्धि	sasniegšana	उपलब्धि	sasniegšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्लिक	klikšķis	क्लिक	klikšķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेबल	marķējums	लेबल	marķējums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेबल	etiķete	लेबल	etiķete	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अकाल	bads	अकाल	bads	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पैलेस	pils	पैलेस	pils	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नीला	zilais	नीला	zils	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
नीला	zils	नीला	zils	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
नीला	zila	नीला	zils	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
नीला	zilā	नीला	zils	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
पोर्ट	osta	पोर्ट	osta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बलों	spēkus	बल	spēks	N;ACC;MASC;PL;3	N;ACC;MASC;PL
स्टील	tērauds	स्टील	tērauds	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्टील	tērauda	स्टील	tērauds	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अवयव	komponente	अवयव	komponente	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अवयव	sastāvdaļa	अवयव	sastāvdaļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अवयव	komponents	अवयव	komponents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अवयव	elements	अवयव	elements	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आलेख	raksts	आलेख	raksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आलेख	izstrādājums	आलेख	izstrādājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आलेख	pants	आलेख	pants	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आलेख	grafiks	आलेख	grafiks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
साक्ष्य	pierādījumi	साक्ष्य	pierādījums	N;NOM;MASC;PL;3	N;NOM;MASC;PL
आवरण	aploksne	आवरण	aploksne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आवरण	vāks	आवरण	vākt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आवरण	vāka	आवरण	vāks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
