for	za	for	za		
perfect	dokonalá	perfect	dokonalý	ADJ	ADJ;NOM;FEM;SG
perfect	perfektná	perfect	perfektný	ADJ	ADJ;NOM;FEM;SG
commune	obci	commune	obec	N;SG	N;DAT;FEM;SG
commune	obec	commune	obec	N;SG	N;NOM;FEM;SG
fantasy	fantáziu	fantasy	fantázium	N;SG	N;ACC;FEM;SG
fantasy	fantázia	fantasy	fantázia	N;SG	N;NOM;FEM;SG
duty	povinnosť	duty	povinnosť	N;SG	N;NOM;FEM;SG
duty	clo	duty	clo	N;SG	N;INAN;NOM;MASC;SG
chair	kreslo	chair	kreslo	N;SG	N;NOM;NEUT;SG
chair	predseda	chair	predseda	N;SG	N;ANIM;NOM;MASC;SG
chair	stolička	chair	stolička	N;SG	N;NOM;FEM;SG
scenes	scény	scene	scéna	N;PL	N;NOM;FEM;PL
opposite	opak	opposite	opak	N;SG	N;INAN;NOM;MASC;SG
streets	uliciach	street	ulica	N;PL	N;INS;FEM;PL
streets	ulice	street	ulica	N;PL	N;NOM;FEM;PL
streets	ulíc	street	ulica	N;PL	N;GEN;FEM;PL
extension	predĺženie	extension	predĺženie	N;SG	N;NOM;NEUT;SG
extension	rozšírenie	extension	rozšírenie	N;SG	N;NOM;NEUT;SG
parliamentary	parlamentné	parliamentary	parlamentný	ADJ	ADJ;NOM;NEUT;SG
parliamentary	parlamentná	parliamentary	parlamentný	ADJ	ADJ;NOM;FEM;SG
parliamentary	parlamentný	parliamentary	parlamentný	ADJ	ADJ;ANIM;NOM;MASC;SG
parliamentary	parlamentných	parliamentary	parlamentný	ADJ	ADJ;GEN;MASC;PL
shooting	streľba	shooting	streľba	N;SG	N;NOM;FEM;SG
ready	pripravený	ready	pripravený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
ready	pripravená	ready	pripravený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
ready	pripravené	ready	pripravený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ready	pripravení	ready	pripravený	ADJ	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
songwriter	skladateľ	songwriter	skladateľ	N;SG	N;ANIM;NOM;MASC;SG
aware	vedomý	aware	vedomý	ADJ	ADJ;ANIM;NOM;MASC;SG
aware	vedomá	aware	vedomý	ADJ	ADJ;NOM;FEM;SG
dictionary	slovníka	dictionary	slovník	N;SG	N;INAN;GEN;MASC;SG
dictionary	slovník	dictionary	slovník	N;SG	N;INAN;NOM;MASC;SG
composition	zloženie	composition	zloženie	N;SG	N;NOM;NEUT;SG
salt	soľ	salt	soľ	N;SG	N;NOM;FEM;SG
bot	robot	bot	robot	N;SG	N;INAN;NOM;MASC;SG
bot	robota	bot	robota	N;SG	N;NOM;FEM;SG
successfully	úspešne	successfully	úspešne	ADV	ADV
benefit	výhoda	benefit	výhoda	N;SG	N;NOM;FEM;SG
benefit	úžitok	benefit	úžitok	N;SG	N;INAN;NOM;MASC;SG
benefit	prínos	benefit	prínos	N;SG	N;INAN;NOM;MASC;SG
interests	záujmov	interest	záujem	N;PL	N;INAN;GEN;MASC;PL
interests	záujmy	interest	záujem	N;PL	N;INAN;NOM;MASC;PL
teachers	učitelia	teacher	učiteľ	N;PL	N;ANIM;NOM;MASC;PL
teachers	učiteľov	teacher	učiteľ	N;PL	N;ANIM;ACC;MASC;PL
closing	uzavretie	closing	uzavretie	N;SG	N;NOM;NEUT;SG
closing	zatvorenie	closing	zatvorenie	N;SG	N;NOM;NEUT;SG
closing	zatváranie	closing	zatváranie	N;SG	N;NOM;NEUT;SG
advertising	reklama	advertising	reklama	N;SG	N;NOM;FEM;SG
contribution	príspevok	contribution	príspevok	N;SG	N;INAN;NOM;MASC;SG
contribution	prínos	contribution	prínos	N;SG	N;INAN;NOM;MASC;SG
retirement	dôchodku	retirement	dôchodok	N;SG	N;INAN;GEN;MASC;SG
retirement	vyradenie	retirement	vyradenie	N;SG	N;NOM;NEUT;SG
scientists	vedcami	scientist	vedec	N;PL	N;ANIM;INS;MASC;PL
scientists	vedci	scientist	vedci	N;PL	N;ANIM;NOM;MASC;PL
scientists	vedcov	scientist	vedec	N;PL	N;ANIM;ACC;MASC;PL
dam	priehrada	dam	priehrada	N;SG	N;NOM;FEM;SG
blocks	bloky	block	blok	N;PL	N;INAN;NOM;MASC;PL
blocks	blokov	block	blok	N;PL	N;INAN;GEN;MASC;PL
print	tlačiť	print	tlačiť	V;IMP;FIN	V;IPFV;POS;NFIN
print	vytlačiť	print	vytlačiť	V;IMP;FIN	V;PFV;POS;NFIN
techniques	techniky	technique	technika	N;PL	N;NOM;FEM;PL
techniques	techník	technique	techník	N;PL	N;GEN;FEM;PL
participate	zúčastniť	participate	zúčastniť	V;IMP;FIN	V;PFV;POS;NFIN
anniversary	výročie	anniversary	výročie	N;SG	N;NOM;NEUT;SG
requested	požiadal	request	požiadať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
requested	požiadali	request	požiadať	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
discovery	objavenie	discovery	objavenie	N;SG	N;NOM;NEUT;SG
discovery	objav	discovery	objav	N;SG	N;INAN;NOM;MASC;SG
explained	vysvetlila	explain	vysvetliť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
explained	vysvetliť	explain	vysvetliť	V;IND;PST;FIN	V;PFV;POS;NFIN
explained	vysvetlil	explain	vysvetliť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
expedition	expedícia	expedition	expedícia	N;SG	N;NOM;FEM;SG
citation	citácia	citation	citácia	N;SG	N;NOM;FEM;SG
assist	asistovať	assist	asistovať	V;IMP;FIN	V;IPFV;POS;NFIN
assist	pomáhať	assist	pomáhať	V;IMP;FIN	V;IPFV;POS;NFIN
assist	napomáhať	assist	napomáhať	V;IMP;FIN	V;IPFV;POS;NFIN
meanwhile	medzitým	meanwhile	medzitým	ADV	ADV
meanwhile	zatiaľ	meanwhile	zatiaľ	ADV	ADV
creative	kreatívna	creative	kreatívny	ADJ	ADJ;NOM;FEM;SG
creative	kreatívny	creative	kreatívny	ADJ	ADJ;ANIM;NOM;MASC;SG
creative	kreatívne	creative	kreatívny	ADJ	ADJ;NOM;NEUT;SG
creative	tvorivé	creative	tvorivý	ADJ	ADJ;NOM;NEUT;SG
maintain	udržiavať	maintain	udržiavať	V;IMP;FIN	V;IPFV;POS;NFIN
maintain	zachovať	maintain	zachovať	V;IMP;FIN	V;PFV;POS;NFIN
detailed	detailné	detailed	detailný	ADJ	ADJ;NOM;NEUT;SG
detailed	podrobné	detailed	podrobný	ADJ	ADJ;NOM;NEUT;SG
detailed	podrobná	detailed	podrobný	ADJ	ADJ;NOM;FEM;SG
facts	fakty	fact	fakt	N;PL	N;INAN;NOM;MASC;PL
facts	faktov	fact	fakt	N;PL	N;INAN;GEN;MASC;PL
frame	rámec	frame	rámec	N;SG	N;INAN;NOM;MASC;SG
frame	rám	frame	rám	N;SG	N;INAN;NOM;MASC;SG
finance	financovanie	finance	financovanie	N;SG	N;NOM;NEUT;SG
script	scenár	script	scenár	N;SG	N;INAN;NOM;MASC;SG
script	skript	script	skript	N;SG	N;INAN;NOM;MASC;SG
camera	fotoaparát	camera	fotoaparát	N;SG	N;INAN;NOM;MASC;SG
camera	kamera	camera	kamera	N;SG	N;NOM;FEM;SG
camera	fotoaparátu	camera	fotoaparát	N;SG	N;INAN;GEN;MASC;SG
camera	kameru	camera	kamera	N;SG	N;ACC;FEM;SG
returns	vráti	return	vrátiť	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
returns	vracia	return	vracať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
assistance	pomoc	assistance	pomoc	N;SG	N;ACC;FEM;SG
experienced	skúsený	experienced	skúsený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
experienced	skúsených	experienced	skúsený	ADJ	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
experienced	skúseného	experienced	skúsený	ADJ	ADJ;ANIM;GEN;MASC;SG;POS;V.PTCP;PASS
underground	podzemné	underground	podzemný	ADJ	ADJ;NOM;NEUT;SG
underground	podzemných	underground	podzemný	ADJ	ADJ;GEN;MASC;PL
sale	predaj	sale	predaj	N;SG	N;INAN;NOM;MASC;SG
sale	výpredaj	sale	výpredať	N;SG	N;INAN;NOM;MASC;SG
beautiful	krásna	beautiful	krásny	ADJ	ADJ;NOM;FEM;SG
beautiful	krásny	beautiful	krásny	ADJ	ADJ;ANIM;NOM;MASC;SG
successor	nástupca	successor	nástupca	N;SG	N;ANIM;NOM;MASC;SG
successor	nástupcu	successor	nástupca	N;SG	N;ANIM;ACC;MASC;SG
successor	nástupcom	successor	nástupca	N;SG	N;ANIM;INS;MASC;SG
classification	zaradenie	classification	zaradenie	N;SG	N;NOM;NEUT;SG
classification	triedenie	classification	triedenie	N;SG	N;NOM;NEUT;SG
classification	zatriedenie	classification	zatriedenie	N;SG	N;NOM;NEUT;SG
classification	klasifikácia	classification	klasifikácia	N;SG	N;NOM;FEM;SG
tool	nástroja	tool	nástroj	N;SG	N;INAN;GEN;MASC;SG
tool	nástroj	tool	nástroj	N;SG	N;INAN;NOM;MASC;SG
tool	náradie	tool	náradie	N;SG	N;NOM;NEUT;SG
mining	banská	mining	banský	N;SG	N;NOM;FEM;SG
mining	ťažbu	mining	ťažba	N;SG	N;ACC;FEM;SG
mining	ťažba	mining	ťažba	N;SG	N;NOM;FEM;SG
cabinet	skriňa	cabinet	skriňa	N;SG	N;NOM;FEM;SG
cabinet	kabinetu	cabinet	kabineta	N;SG	N;INAN;GEN;MASC;SG
cabinet	skrinka	cabinet	skrinka	N;SG	N;NOM;FEM;SG
bytes	bajtov	byte	bajt	N;PL	N;INAN;GEN;MASC;PL
bytes	bytov	byte	byt	N;PL	N;INAN;GEN;MASC;PL
singing	spev	sing	spev	N;SG	N;INAN;NOM;MASC;SG
singing	spievanie	sing	spievanie	N;SG	N;NOM;NEUT;SG
gender	pohlavie	gender	pohlavie	N;SG	N;NOM;NEUT;SG
lakes	jazerá	lake	jazero	N;PL	N;NOM;NEUT;PL
lakes	jazier	lake	jazier	N;PL	N;GEN;NEUT;PL
lakes	laky	lake	lak	N;PL	N;INAN;NOM;MASC;PL
mail	mail	mail	maiť	N;SG	N;INAN;NOM;MASC;SG
mail	pošta	mail	pošta	N;SG	N;NOM;FEM;SG
electoral	volebné	electoral	volebný	ADJ	ADJ;NOM;NEUT;SG
electoral	volebného	electoral	volebný	ADJ	ADJ;GEN;NEUT;SG
electoral	volebná	electoral	volebný	ADJ	ADJ;NOM;FEM;SG
electoral	volebný	electoral	volebný	ADJ	ADJ;INAN;NOM;MASC;SG
emergency	pohotovosť	emergency	pohotovosť	N;SG	N;NOM;FEM;SG
mode	móde	mode	móda	N;SG	N;DAT;FEM;SG
mode	režim	mode	režiť	N;SG	N;INAN;NOM;MASC;SG
mode	mód	mode	mód	N;SG	N;INAN;NOM;MASC;SG
heads	hláv	head	hlava	N;PL	N;GEN;FEM;PL
heads	hlavy	head	hlava	N;PL	N;NOM;FEM;PL
proved	dokázal	prove	dokázať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
proved	dokázalo	prove	dokázať	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
priest	kňaz	priest	kňaz	N;SG	N;ANIM;NOM;MASC;SG
priest	kňaza	priest	kňaz	N;SG	N;ANIM;ACC;MASC;SG
funds	fondy	fund	fondy	N;PL	N;INAN;NOM;MASC;PL
investment	investícia	investment	investícia	N;SG	N;NOM;FEM;SG
investment	investovanie	investment	investovanie	N;SG	N;NOM;NEUT;SG
romanian	rumunský	romanian	rumunský	ADJ	ADJ;ANIM;NOM;MASC;SG
romanian	rumunská	romanian	rumunský	ADJ	ADJ;NOM;FEM;SG
romanian	rumunskom	romanian	rumunský	ADJ	ADJ;INS;NEUT;SG
romanian	rumunské	romanian	rumunský	ADJ	ADJ;NOM;NEUT;SG
romanian	rumunského	romanian	rumunský	ADJ	ADJ;GEN;NEUT;SG
session	relácia	session	relácia	N;SG	N;NOM;FEM;SG
session	sedenie	session	sedenie	N;SG	N;NOM;NEUT;SG
session	zasadnutie	session	zasadnutie	N;SG	N;NOM;NEUT;SG
capture	zachytiť	capture	zachytiť	V;IMP;FIN	V;PFV;POS;NFIN
capture	zajať	capture	zajať	V;IMP;FIN	V;PFV;POS;NFIN
aspects	hľadiská	aspect	hľadisko	N;PL	N;NOM;NEUT;PL
aspects	aspektov	aspect	aspekt	N;PL	N;INAN;GEN;MASC;PL
aspects	aspekty	aspect	aspekt	N;PL	N;INAN;NOM;MASC;PL
reduce	zredukovať	reduce	zredukovať	V;IMP;FIN	V;POS;NFIN
reduce	znížiť	reduce	znížiť	V;IMP;FIN	V;PFV;POS;NFIN
trophy	trofej	trophy	trofej	N;SG	N;ACC;FEM;SG
abuse	zneužitie	abuse	zneužitie	N;SG	N;NOM;NEUT;SG
abuse	týranie	abuse	týranie	N;SG	N;NOM;NEUT;SG
abuse	zneužívanie	abuse	zneužívanie	N;SG	N;NOM;NEUT;SG
walk	kráčať	walk	kráčať	V;IMP;FIN	V;IPFV;POS;NFIN
faced	čelil	face	čeliť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
faced	čelili	face	čeliť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
normally	bežne	normally	bežne	ADV	ADV
normally	normálne	normally	normálne	ADV	ADV
normally	normalne	normally	normalne	ADV	ADV
snow	snehu	snow	sneh	N;SG	N;INAN;GEN;MASC;SG
snow	snehulienka	snow	snehulienka	N;SG	N;NOM;FEM;SG
snow	sneh	snow	sneh	N;SG	N;INAN;NOM;MASC;SG
snow	sneženie	snow	sneženie	N;SG	N;NOM;NEUT;SG
shop	obchod	shop	obchod	N;SG	N;INAN;NOM;MASC;SG
shop	predajňa	shop	predajňa	N;SG	N;NOM;FEM;SG
inhabitants	obyvatelia	inhabitant	obyvateľ	N;PL	N;ANIM;NOM;MASC;PL
inhabitants	obyvateľov	inhabitant	obyvateľ	N;PL	N;ANIM;ACC;MASC;PL
inhabitants	obyvateľom	inhabitant	obyvateľ	N;PL	N;ANIM;DAT;MASC;PL
employees	zamestnanci	employee	zamestnanec	N;PL	N;ANIM;NOM;MASC;PL
employees	zamestnancov	employee	zamestnanec	N;PL	N;ANIM;ACC;MASC;PL
error	chyba	error	chyba	N;SG	N;NOM;FEM;SG
cable	kábel	cable	kábel	N;SG	N;INAN;NOM;MASC;SG
protein	bielkovina	protein	bielkovina	N;SG	N;NOM;FEM;SG
protein	proteín	protein	proteina	N;SG	N;INAN;NOM;MASC;SG
accident	úraz	accident	úraz	N;SG	N;INAN;NOM;MASC;SG
accident	nehoda	accident	nehoda	N;SG	N;NOM;FEM;SG
accident	havária	accident	havária	N;SG	N;NOM;FEM;SG
decade	desaťročí	decade	desaťročie	N;SG	N;NOM;NEUT;SG
decade	desaťročie	decade	desaťročie	N;SG	N;NOM;NEUT;SG
measure	opatrenie	measure	opatrenie	N;SG	N;NOM;NEUT;SG
watched	pozerali	watch	pozerať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
watched	sledoval	watch	sledovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
watched	pozeral	watch	pozerať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
patients	pacienti	patient	paciento	N;PL	N;ANIM;NOM;MASC;PL
patients	pacientov	patient	pacient	N;PL	N;INAN;GEN;MASC;PL
patients	pacientom	patient	pacientom	N;PL	N;INAN;INS;MASC;PL
patients	pacientky	patient	pacientka	N;PL	N;NOM;FEM;PL
animated	animované	animated	animovaný	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
satellite	satelit	satellite	satelit	N;SG	N;INAN;NOM;MASC;SG
combination	kombináciu	combination	kombinácia	N;SG	N;ACC;FEM;SG
combination	kombinácia	combination	kombinácia	N;SG	N;NOM;FEM;SG
combination	kombinácii	combination	kombinácia	N;SG	N;DAT;FEM;SG
courts	súdy	court	súd	N;PL	N;INAN;NOM;MASC;PL
courts	súdov	court	súd	N;PL	N;INAN;GEN;MASC;PL
sequence	postupnosť	sequence	postupnosť	N;SG	N;NOM;FEM;SG
sequence	sekvencia	sequence	sekvencia	N;SG	N;NOM;FEM;SG
hook	hák	hook	hák	N;SG	N;INAN;NOM;MASC;SG
hook	háčik	hook	háčik	N;SG	N;INAN;NOM;MASC;SG
clean	čistá	clean	čistý	ADJ	ADJ;NOM;FEM;SG
clean	čistý	clean	čistý	ADJ	ADJ;INAN;NOM;MASC;SG
clean	čisté	clean	čistý	ADJ	ADJ;NOM;NEUT;SG
owners	majiteľov	owner	majiteľ	N;PL	N;ANIM;ACC;MASC;PL
owners	vlastníci	owner	vlastník	N;PL	N;ANIM;NOM;MASC;PL
owners	vlastníkov	owner	vlastník	N;PL	N;ANIM;ACC;MASC;PL
owners	majitelia	owner	majiteľ	N;PL	N;ANIM;NOM;MASC;PL
describe	popísať	describe	popísať	V;IMP;FIN	V;PFV;POS;NFIN
describe	opísať	describe	opísať	V;IMP;FIN	V;PFV;POS;NFIN
defensive	obranný	defensive	obranný	ADJ	ADJ;INAN;NOM;MASC;SG
defensive	obranná	defensive	obranný	ADJ	ADJ;NOM;FEM;SG
defensive	obranné	defensive	obranný	ADJ	ADJ;NOM;NEUT;SG
photos	fotografie	photo	fotografia	N;PL	N;NOM;FEM;PL
photos	fotky	photo	fotka	N;PL	N;NOM;FEM;PL
photos	fotiek	photo	fotka	N;PL	N;GEN;FEM;PL
ottoman	osmanskej	ottoman	osmanský	ADJ	ADJ;GEN;FEM;SG
trained	trénoval	train	trénovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
routes	trasy	route	tri	N;PL	N;NOM;FEM;PL
routes	trás	route	trás	N;PL	N;GEN;FEM;PL
routes	cesty	route	cesta	N;PL	N;NOM;FEM;PL
ministers	ministrov	minister	minister	N;PL	N;INAN;GEN;MASC;PL
ministers	ministri	minister	minister	N;PL	N;ANIM;NOM;MASC;PL
wine	vínko	wine	vínko	N;SG	N;NOM;NEUT;SG
wine	víno	wine	víno	N;SG	N;NOM;NEUT;SG
wine	vino	wine	vino	N;SG	N;NOM;MASC;SG
landing	pristátie	landing	pristátiť	N;SG	N;NOM;NEUT;SG
communes	obce	commune	obec	N;PL	N;NOM;FEM;PL
communes	obcí	commune	obec	N;PL	N;GEN;FEM;PL
mps	poslanci	mps	poslanec	N;PL	N;ANIM;NOM;MASC;PL
guess	uhádnuť	guess	uhádnuť	V;IMP;FIN	V;PFV;POS;NFIN
drop	pokles	drop	pokles	N;SG	N;INAN;NOM;MASC;SG
drop	kvapka	drop	kvapka	N;SG	N;NOM;FEM;SG
drop	drop	drop	drop	N;SG	N;INAN;NOM;MASC;SG
swimming	kúpanie	swim	kúpanie	N;SG	N;NOM;NEUT;SG
swimming	plávanie	swim	plávanie	N;SG	N;NOM;NEUT;SG
membership	členstvo	membership	členstvo	N;SG	N;NOM;NEUT;SG
fit	prispôsobiť	fit	prispôsobiť	V;IMP;FIN	V;PFV;POS;NFIN
degrees	stupňov	degree	stupeň	N;PL	N;INAN;GEN;MASC;PL
degrees	stupne	degree	stupeň	N;PL	N;INAN;NOM;MASC;PL
bachelor	bachelor	bachelor	bachelor	N;SG	N;NOM;NEUT;SG
bachelor	mládenec	bachelor	mládenec	N;SG	N;ANIM;NOM;MASC;SG
personally	osobne	personally	osobne	ADV	ADV
briefly	krátko	briefly	krátko	ADV	ADV
briefly	stručne	briefly	stručne	ADV	ADV
files	súborov	file	súbor	N;PL	N;INAN;GEN;MASC;PL
files	súbory	file	súbor	N;PL	N;INAN;NOM;MASC;PL
extreme	extrémny	extreme	extrémny	ADJ	ADJ;ANIM;NOM;MASC;SG
extreme	extrémna	extreme	extrémny	ADJ	ADJ;NOM;FEM;SG
courses	kurzy	course	kurza	N;PL	N;INAN;NOM;MASC;PL
courses	kurzov	course	kurzov	N;PL	N;INAN;GEN;MASC;PL
homes	domy	home	dom	N;PL	N;INAN;NOM;MASC;PL
homes	domovy	home	domov	N;PL	N;INAN;NOM;MASC;PL
sought	hľadal	seek	hľadať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
vision	vízia	vision	víziť	N;SG	N;NOM;FEM;SG
vision	videnie	vision	videnie	N;SG	N;NOM;NEUT;SG
vision	víziu	vision	vízium	N;SG	N;ACC;FEM;SG
demand	dopytu	demand	dopyt	N;SG	N;INAN;GEN;MASC;SG
demand	dopyt	demand	dopyt	N;SG	N;INAN;NOM;MASC;SG
vertical	vertikálna	vertical	vertikálny	ADJ	ADJ;NOM;FEM;SG
vertical	vertikálne	vertical	vertikálne	ADJ	ADJ;NOM;NEUT;SG
vertical	vertikálny	vertical	vertikálny	ADJ	ADJ;INAN;NOM;MASC;SG
marketing	marketing	marketing	marketing	N;SG	N;INAN;NOM;MASC;SG
marketing	obchodovanie	marketing	obchodovanie	N;SG	N;NOM;NEUT;SG
consisted	pozostávala	consist	pozostávať	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
appeal	odvolanie	appeal	odvolanie	N;SG	N;NOM;NEUT;SG
plane	lietadlo	plane	lietadlo	N;SG	N;NOM;NEUT;SG
plane	rovina	plane	rovina	N;SG	N;NOM;FEM;SG
plane	lietadlom	plane	lietadlo	N;SG	N;INS;NEUT;SG
quick	rýchle	quick	rýchly	ADJ	ADJ;NOM;NEUT;SG
quick	rýchly	quick	rýchly	ADJ	ADJ;ANIM;NOM;MASC;SG
quick	rýchla	quick	rýchly	ADJ	ADJ;NOM;FEM;SG
solar	slnečné	solar	slnečný	ADJ	ADJ;NOM;NEUT;PL
solar	solárne	solar	solárny	ADJ	ADJ;NOM;NEUT;PL
solar	solárny	solar	solárny	ADJ	ADJ;INAN;NOM;MASC;SG
solar	slnečná	solar	slnečný	ADJ	ADJ;NOM;FEM;SG
neighborhood	štvrť	neighborhood	štvrť	N;SG	N;NOM;FEM;SG
neighborhood	susedstvo	neighborhood	susedstvo	N;SG	N;NOM;NEUT;SG
neighborhood	okolie	neighborhood	okolie	N;SG	N;NOM;NEUT;SG
neighborhood	štvrti	neighborhood	štvrť	N;SG	N;DAT;FEM;SG
wings	krídla	wing	krídlo	N;PL	N;NOM;NEUT;PL
scheme	schéma	scheme	schéma	N;SG	N;NOM;FEM;SG
matters	záležitostí	matter	záležitosť	N;PL	N;GEN;FEM;PL
matters	veciach	matter	vec	N;PL	N;GEN;FEM;PL
matters	záležitosti	matter	záležitosť	N;PL	N;NOM;FEM;PL
rfc	rfc	rfc	rfc	N;SG	N;NOM;FEM;SG
constant	konštantné	constant	konštantný	ADJ	ADJ;NOM;NEUT;SG
constant	konštantný	constant	konštantný	ADJ	ADJ;ANIM;NOM;MASC;SG
additionally	dodatočne	additionally	dodatočne	ADV	ADV
admins	administrátori	admin	administrátor	N;PL	N;ANIM;NOM;MASC;PL
ceremony	obrad	ceremony	obrad	N;SG	N;INAN;NOM;MASC;SG
ceremony	slávnosť	ceremony	slávnosť	N;SG	N;NOM;FEM;SG
composers	skladateľov	composer	skladateľ	N;PL	N;ANIM;GEN;MASC;PL
scholar	učenec	scholar	učenec	N;SG	N;ANIM;NOM;MASC;SG
hero	hrdinom	hero	hrdina	N;SG	N;ANIM;INS;MASC;SG
hero	hrdinu	hero	hrdina	N;SG	N;ANIM;ACC;MASC;SG
hero	hrdina	hero	hrdina	N;SG	N;ANIM;NOM;MASC;SG
learned	naučila	learn	naučiť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
learned	naučil	learn	naučiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
learned	dozvedela	learn	dozvedieť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
learned	dozvedel	learn	dozvedieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
instruments	nástroje	instrument	nástroj	N;PL	N;INAN;NOM;MASC;PL
instruments	prístroje	instrument	prístroj	N;PL	N;INAN;NOM;MASC;PL
instruments	nástrojov	instrument	nástroj	N;PL	N;INAN;GEN;MASC;PL
hair	srsť	hair	srsť	N;SG	N;NOM;FEM;SG
movies	filmy	movie	film	N;PL	N;INAN;NOM;MASC;PL
adjacent	susedné	adjacent	susedný	ADJ	ADJ;NOM;NEUT;SG
adjacent	priľahlých	adjacent	priľahlý	ADJ	ADJ;GEN;MASC;PL
adjacent	susediace	adjacent	susediaci	ADJ	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
pool	bazéna	pool	bazén	N;SG	N;INAN;GEN;MASC;SG
pool	biliard	pool	biliard	N;SG	N;INAN;NOM;MASC;SG
pool	bazén	pool	bazén	N;SG	N;INAN;NOM;MASC;SG
collections	zbierky	collection	zbierka	N;PL	N;NOM;FEM;PL
collections	kolekcie	collection	kolekcia	N;PL	N;NOM;FEM;PL
corporate	firemné	corporate	firemný	ADJ	ADJ;NOM;NEUT;SG
corporate	firemný	corporate	firemný	ADJ	ADJ;ANIM;NOM;MASC;SG
driving	jazda	driving	jazda	N;SG	N;NOM;FEM;SG
phone	telefón	phone	telefón	N;SG	N;INAN;NOM;MASC;SG
phone	mobil	phone	mobiť	N;SG	N;INAN;NOM;MASC;SG
phone	telefon	phone	telefon	N;SG	N;INAN;NOM;MASC;SG
fly	letieť	fly	letieť	V;IMP;FIN	V;IPFV;POS;NFIN
fly	lietať	fly	lietať	V;IMP;FIN	V;IPFV;POS;NFIN
window	okna	window	okno	N;SG	N;NOM;NEUT;SG
window	okienko	window	okienko	N;SG	N;NOM;NEUT;SG
window	okne	window	okno	N;SG	N;NOM;NEUT;SG
window	okno	window	okno	N;SG	N;NOM;NEUT;SG
document	doklad	document	doklad	N;SG	N;INAN;NOM;MASC;SG
document	dokument	document	dokument	N;SG	N;INAN;NOM;MASC;SG
document	písomnosť	document	písomnosť	N;SG	N;NOM;FEM;SG
document	dokumentu	document	dokument	N;SG	N;INAN;GEN;MASC;SG
collaboration	spolupráca	collaboration	spolupráca	N;SG	N;NOM;FEM;SG
leg	noha	leg	noha	N;SG	N;NOM;FEM;SG
leg	nohe	leg	noha	N;SG	N;DAT;FEM;SG
leg	nohu	leg	noha	N;SG	N;ACC;FEM;SG
videos	videá	video	vidieť	N;PL	N;NOM;NEUT;PL
assume	prevziať	assume	prevziať	V;IMP;FIN	V;PFV;POS;NFIN
assume	predpokladajme	assume	predpokladať	V;IMP;FIN	V;IPFV;IMP;PL;1;POS;FIN
assume	predpokladať	assume	predpokladať	V;IMP;FIN	V;IPFV;POS;NFIN
dry	suché	dry	suchý	ADJ	ADJ;NOM;NEUT;SG
dry	suchý	dry	suchý	ADJ	ADJ;ANIM;NOM;MASC;SG
expand	rozšíriť	expand	rozšíriť	V;IMP;FIN	V;PFV;POS;NFIN
expand	rozvinúť	expand	rozvinúť	V;IMP;FIN	V;PFV;POS;NFIN
serbian	srbská	serbian	srbský	ADJ	ADJ;NOM;FEM;SG
serbian	srbskom	serbian	srbský	ADJ	ADJ;INS;NEUT;SG
serbian	srbskej	serbian	srbský	ADJ	ADJ;GEN;FEM;SG
instrument	nástroja	instrument	nástroj	N;SG	N;INAN;GEN;MASC;SG
