von	no	von	no	ADP	
sichtbar	redzams	sichtbar	redzēt	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
sichtbar	pamanāma	sichtbar	pamanīt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
sichtbar	redzami	sichtbar	redzēt	ADJ	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
sichtbar	redzamais	sichtbar	redzēt	ADJ	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
sichtbar	redzama	sichtbar	redzēt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
sichtbar	redzami	sichtbar	redzēt	ADJ	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
blues	blues	blues	blues	PROPN;NOM;SG	
spanische	spāņu	spanisch	spānis	ADJ;NOM;FEM;PL	N;GEN;MASC;PL
spanische	spānijas	spanisch	spānija	ADJ;NOM;FEM;PL	PROPN;NOM;FEM;SG
details	detalizēta	details	detalizēt	N;NOM;NEUT;PL	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
details	sīki	details	sīki	N;NOM;NEUT;PL	ADV
details	detalizēti	details	detalizēt	N;NOM;NEUT;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
info	info	info	info		N
herrscher	valdnieks	herrscher	valdnieks		N;NOM;MASC;SG
herrscher	imperators	herrscher	imperators		N;NOM;MASC;SG
planung	plānošanas	planung	plānošana	ADJ	N;NOM;FEM;PL
planung	dizaina	planung	dizains	ADJ	N;NOM;MASC;SG
planung	dizains	planung	dizains	ADJ	N;NOM;MASC;SG
planung	projektēšana	planung	projektēšana	ADJ	N;NOM;FEM;SG
planung	konstrukcija	planung	konstrukcija	ADJ	N;NOM;FEM;SG
planung	plānošana	planung	plānošana	ADJ	N;NOM;FEM;SG
planung	plānošanas	planung	plānošana	ADJ	N;NOM;FEM;PL
planung	plānošana	planung	plānošana	ADJ	N;NOM;FEM;SG
planung	plānošanas	planung	plānošana	ADJ	N;NOM;FEM;PL
planung	programmēšanas	planung	programmēšana	ADJ	N;NOM;FEM;PL
leiden	leidenes	leiden	leidene	V;NFIN	N;NOM;FEM;PL
leiden	ciešanām	leiden	ciešana	V;NFIN	N;DAT;FEM;PL
leiden	ciešanas	leiden	ciešana	V;NFIN	N;NOM;FEM;PL
wirtschaftlichen	ekonomikas	wirtschaftlich	ekonomika	ADJ;NOM;MASC;PL	N;NOM;FEM;PL
wirtschaftlichen	ekonomiskais	wirtschaftlich	ekonomisks	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
wirtschaftlichen	ekonomiskā	wirtschaftlich	ekonomiska	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
wirtschaftlichen	ekonomiska	wirtschaftlich	ekonomiska	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
komponisten	komponistu	komponist	komponists	ADJ	N;ACC;MASC;SG
komponisten	komponista	komponist	komponists	ADJ	N;GEN;MASC;SG
victor	viktors	victor	viktors	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
anscheinend	acīmredzot	anscheinend	acīmredzot	ADV	
verdienste	nopelni	verdienst	nopelne	V;IND;SG;3;PST;FIN	N;NOM;MASC;PL
verdienste	nopelniem	verdienst	nopelns	V;IND;SG;3;PST;FIN	N;DAT;MASC;PL
verstärkt	pastiprināta	verstärkt	pastiprināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
verstärkt	nostiprināts	verstärkt	nostiprināt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verstärkt	nostiprināta	verstärkt	nostiprināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
verstärkt	pastiprināta	verstärkt	pastiprināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
verstärkt	pastiprināts	verstärkt	pastiprināt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verstärkt	pastiprināti	verstärkt	pastiprināti	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
verstärkt	pastiprināta	verstärkt	pastiprināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
aufgehoben	atcelts	aufheben	atcelt	ADJ;V.PTCP	N;NOM;MASC;SG
aufgehoben	atsaukts	aufheben	atsaukt	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aufgehoben	atsaukta	aufheben	atsaukt	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
aufgehoben	anulēta	aufheben	anulēt	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
henri	henri	henri	henri	PROPN;NOM;MASC;SG	
partner	partneri	partner	partneris	ADJ	N;NOM;MASC;PL
partner	partneriem	partner	partneris	ADJ	N;DAT;MASC;PL
partner	partnera	partner	partneris	ADJ	N;NOM;MASC;SG
partner	partneri	partner	partneris	ADJ	N;NOM;MASC;PL
partner	partneris	partner	partneris	ADJ	N;NOM;MASC;SG
partner	partnerim	partner	partneris	ADJ	N;DAT;MASC;SG
zustimmung	piekrišanas	zustimmung	piekrišana	N;NOM;FEM;SG	N;NOM;FEM;PL
abkürzung	saīsinājums	abkürzung	saīsinājums	ADJ	N;NOM;MASC;SG
abkürzung	akronīms	abkürzung	akronīms	ADJ	N;NOM;MASC;SG
jörg	jörg	jörgen	jörg	PROPN;NOM;MASC;SG	
jörg	stīvens	jörgen	stīvens	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
masse	masse	massen	masse		
masse	masas	massen	masa		N;NOM;FEM;PL
masse	masas	massen	masa		N;NOM;FEM;PL
masse	masa	massen	masa		N;NOM;FEM;SG
rücken	grēda	rücken	grēst	V;NFIN	N;NOM;FEM;SG
rücken	muguru	rücken	mugura	V;NFIN	N;ACC;FEM;SG
rücken	atpakaļ	rücken	atpakaļ	V;NFIN	ADV
rücken	mugura	rücken	mugura	V;NFIN	N;NOM;FEM;SG
chris	kriss	chris	kriss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
naturschutzgebiet	rezervē	naturschutzgebieten	rezerve	ADJ	V;FH;IND;SG;2;POS;PRS;FIN;ACT
naturschutzgebiet	rezerves	naturschutzgebieten	rezerve	ADJ	N;NOM;FEM;PL
naturschutzgebiet	rezerve	naturschutzgebieten	rezerve	ADJ	N;NOM;FEM;SG
nationen	nācija	nation	nācija	N;NOM;FEM;PL	N;NOM;FEM;SG
nationen	tauta	nation	tauta	N;NOM;FEM;PL	N;NOM;FEM;SG
nationen	nāciju	nation	nācija	N;NOM;FEM;PL	N;ACC;FEM;SG
harald	haralds	harald	haralds	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
unterstützen	atbalstīšana	unterstützen	atbalstīšana	V;NFIN	N;NOM;FEM;SG
unterstützen	atbalstu	unterstützen	atbalsts	V;NFIN	N;ACC;MASC;SG
unterstützen	atbalsts	unterstützen	atbalsts	V;NFIN	N;NOM;MASC;SG
francis	francis	francis	francis	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
anforderungen	prasības	anforderingen	prasība	V;NFIN	N;NOM;FEM;PL
schützen	aizsargāšana	schützen	aizsargāšana	V;NFIN	N;NOM;FEM;SG
schützen	šāvējs	schützen	šāvējs	V;NFIN	N;NOM;MASC;SG
schützen	šāvēji	schützen	šāvējs	V;NFIN	N;NOM;MASC;PL
beleg	saņemšana	belegen	saņemšana		N;NOM;FEM;SG
beleg	saņemšanas	belegen	saņemšana		N;NOM;FEM;PL
web	web	web	web		N
web	tīmekļa	web	tīmeklis		N;NOM;MASC;SG
übernahme	pārņemšanas	übernehmen	pārņemšana	N;NOM;FEM;SG	N;NOM;FEM;PL
übernahme	iegādi	übernehmen	iegāde	N;NOM;FEM;SG	N;ACC;FEM;SG
vollkommen	pilnīgi	vollkommen	pilnīgi	ADJ	ADV
ohnehin	vienalga	ohnehin	vienalga	ADV	
florida	florida	florida	floridāt	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
kader	squad	kader	squad	N;NOM;MASC;SG	
kader	vadu	kader	vads	N;NOM;MASC;SG	N;ACC;MASC;SG
ausgaben	tēriņi	ausgeben	tēriņš	V;FIN	N;NOM;MASC;PL
ausgaben	izdevumi	ausgeben	izdevumi	V;FIN	N;NOM;MASC
ausgaben	izdevumi	ausgeben	izdevumi	V;FIN	N;NOM;MASC
ausgaben	izdevumus	ausgeben	izdevumi	V;FIN	N;ACC;MASC
kommunikation	komunikācija	kommunikation	komunikācija	PROPN	N;NOM;FEM;SG
kommunikation	paziņojums	kommunikation	paziņojums	PROPN	N;NOM;MASC;SG
kommunikation	saziņa	kommunikation	saziņa	PROPN	N;NOM;FEM;SG
kommunikation	komunikācijas	kommunikation	komunikācija	PROPN	N;NOM;FEM;PL
kommunikation	sazinoties	kommunikation	sazināties	PROPN	V;REFL;V.CVB
kommunikation	komunikācija	kommunikation	komunikācija	PROPN	N;NOM;FEM;SG
kommunikation	sakari	kommunikation	sakars	PROPN	N;NOM;MASC;PL
kommunikation	paziņojumi	kommunikation	paziņojums	PROPN	N;NOM;MASC;PL
kommunikation	saziņa	kommunikation	saziņa	PROPN	N;NOM;FEM;SG
kommunikation	komunikāciju	kommunikation	komunikācija	PROPN	N;ACC;FEM;SG
kommunikation	komunikācijas	kommunikation	komunikācija	PROPN	N;NOM;FEM;PL
gebrauch	lietošana	gebrauch	lietošana	ADJ	N;NOM;FEM;SG
gebrauch	izmantošana	gebrauch	izmantošana	ADJ	N;NOM;FEM;SG
gebrauch	lietojums	gebrauch	lietojums	ADJ	N;NOM;MASC;SG
gebrauch	lietošana	gebrauch	lietošana	ADJ	N;NOM;FEM;SG
gebrauch	lietojums	gebrauch	lietojums	ADJ	N;NOM;MASC;SG
gebrauch	lietot	gebrauch	lietot	ADJ	V;POS;NFIN
gebrauch	izlietot	gebrauch	izlietot	ADJ	V;POS;NFIN
gebrauch	izmantošana	gebrauch	izmantošana	ADJ	N;NOM;FEM;SG
guter	labi	gut	labi	ADJ;NOM;MASC	ADV
männchen	vīrietis	männchen	vīrietis	N;NOM;PL	N;NOM;MASC;SG
männchen	vīriešu	männchen	vīrietis	N;NOM;PL	N;GEN;MASC;PL
ursprung	izcelsmi	ursprung	izcelsme	ADV	N;ACC;FEM;SG
ursprung	izcelsme	ursprung	izcelsme	ADV	N;NOM;FEM;SG
ursprung	izcelsmi	ursprung	izcelsme	ADV	N;ACC;FEM;SG
ursprung	izcelsme	ursprung	izcelsme	ADV	N;NOM;FEM;SG
stücke	gabali	stücken	gabals		N;NOM;MASC;PL
stücke	celiņi	stücken	celiņš		N;NOM;MASC;PL
stücke	pēdas	stücken	pēda		N;NOM;FEM;PL
stücke	sliedes	stücken	sliede		N;NOM;FEM;PL
stücke	dziesmas	stücken	dziesma		N;NOM;FEM;PL
stücke	gabali	stücken	gabals		N;NOM;MASC;PL
dauer	ilgums	dauer	ilgums		N;NOM;MASC;SG
dauer	garums	dauer	garums		N;NOM;MASC;SG
südafrika	āfrika	südafrika	āfrika	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
bewusst	apzināti	bewußt	apzināt	ADJ	ADV
bewusst	apzināti	bewußt	apzināt	ADJ	ADV
bewusst	samaņas	bewußt	samaņa	ADJ	N;NOM;FEM;PL
bewusst	apzinoties	bewußt	apzināties	ADJ	V;REFL;V.CVB
roland	rolands	roland	rolands	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
geist	spoks	geisen	spoks		N;NOM;MASC;SG
geist	spoku	geisen	spoks		N;ACC;MASC;SG
geist	rēgs	geisen	rēgs		N;NOM;MASC;SG
geist	prātā	geisen	prāts		N;ESS;MASC;SG
geist	prāta	geisen	prāts		N;NOM;MASC;SG
geist	prātu	geisen	prāts		N;ACC;MASC;SG
geist	prāts	geisen	prāts		N;NOM;MASC;SG
geist	gars	geisen	gars		N;NOM;MASC;SG
geist	spirti	geisen	spirts		N;NOM;MASC;PL
geist	gari	geisen	garš		ADJ;NOM;MASC;PL
della	della	Della	della	PROPN;NOM;SG	
katalog	katalogu	katalog	katalogs	ADJ	N;ACC;MASC;SG
katalog	katalogs	katalog	katalogs	ADJ	N;NOM;MASC;SG
katalog	katalogā	katalog	katalogs	ADJ	N;ESS;MASC;SG
begrenzt	ierobežots	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
begrenzt	limited	begrenzen	limited	ADJ	
begrenzt	ierobežota	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
begrenzt	ierobežoti	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
begrenzt	ierobežots	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
begrenzt	ierobežoti	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
begrenzt	ierobežotā	begrenzen	ierobežot	ADJ	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
begrenzt	ierobežota	begrenzen	ierobežot	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
vii	vii	vii	vii		ADJ
argentinien	argentīna	argentinien	argentīns	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
argentinien	argentīnas	argentinien	argentīna	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
argentinien	argentīna	argentinien	argentīns	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
argentinien	argentīnas	argentinien	argentīna	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
sowieso	vienalga	sowieso	vienalga	ADV	
episoden	epizode	episod	epizode	N;NOM;FEM;PL	N;NOM;FEM;SG
episoden	epizodi	episod	epizode	N;NOM;FEM;PL	N;ACC;FEM;SG
entwickeln	attīstīšana	entwickeln	attīstīšana	V;NFIN	N;NOM;FEM;SG
entwickeln	jaunattīstības	entwickeln	jaunattīstība	V;NFIN	N;NOM;FEM;SG
central	centrālā	central	centrāla	PROPN	ADJ;NOM;FEM;SG
central	centrālais	central	centrāls	PROPN	ADJ;NOM;MASC;SG
central	centrālās	central	centrāla	PROPN	ADJ;NOM;FEM;PL
siegfried	zigfrīds	siegfrieden	zigfrīds	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
verkauf	pārdod	verkaufen	pārdot	N	V;IMP;SG;2;POS;FIN;ACT
verkauf	noiets	verkaufen	noiet	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
objekt	objekts	objekt	objekts		N;NOM;MASC;SG
objekt	iebilst	objekt	iebilst		V;FH;IND;3;POS;PRS;FIN;ACT
positiv	pozitīvi	positiv	pozitīvi	ADJ	ADV
wohnung	plakana	wohnung	plakana	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
wohnung	vienotas	wohnung	vienota	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
wohnung	plakanas	wohnung	plakana	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
wohnung	dzīvoklī	wohnung	dzīvoklis	N;NOM;FEM;SG	N;ESS;MASC;SG
bass	bass	bassen	bass		PROPN;NOM;MASC;SG
schreib	rakstiet	schreib	rakstīt	V;IND;SG;2;FIN	V;IMP;PL;2;POS;FIN;ACT
interessen	procentiem	interesse	procents	N;NOM;PL	N;DAT;MASC;PL
interessen	procentus	interesse	procents	N;NOM;PL	N;ACC;MASC;PL
interessen	interese	interesse	interese	N;NOM;PL	N;NOM;FEM;SG
herzogtum	pārdaugavas	herzogtum	pārdaugava	PROPN	N;NOM;FEM;PL
pfarrei	pagasts	pfarrei	pagasts	PROPN;NOM;SG	N;NOM;MASC;SG
erfurt	erfurt	erfurt	erfurt		
goethe	gētes	goethe	gēte		N;NOM;FEM;PL
master	kapteiņi	master	kapteini	ADJ	N;NOM;MASC;PL
master	masters	master	masters	ADJ	N;NOM;MASC;SG
master	saimnieki	master	saimnieks	ADJ	N;NOM;MASC;PL
master	kapteinis	master	kapteinis	ADJ	N;NOM;MASC;SG
master	meistars	master	meistars	ADJ	N;NOM;MASC;SG
master	saimnieks	master	saimnieks	ADJ	N;NOM;MASC;SG
grüne	zaļa	grün	zaļš	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
grüne	zaļā	grün	zaļš	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
grüne	zaļš	grün	zaļš	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
grüne	zaļo	grün	zaļa	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
anmerkungen	piezīmes	anmerkingen	piezīme	V;NFIN	N;NOM;FEM;PL
anmerkungen	piezīmes	anmerkingen	piezīme	V;NFIN	N;NOM;FEM;PL
anmerkungen	piezīmes	anmerkingen	piezīme	V;NFIN	N;NOM;FEM;PL
anmerkungen	novērojumi	anmerkingen	novērojums	V;NFIN	N;NOM;MASC;PL
anmerkungen	novērojumus	anmerkingen	novērojums	V;NFIN	N;ACC;MASC;PL
anmerkungen	apsvērumi	anmerkingen	apsvērums	V;NFIN	N;NOM;MASC;PL
anmerkungen	piezīmes	anmerkingen	piezīme	V;NFIN	N;NOM;FEM;PL
anmerkungen	komentāri	anmerkingen	komentārs	V;NFIN	N;NOM;MASC;PL
anmerkungen	apsvērumi	anmerkingen	apsvērums	V;NFIN	N;NOM;MASC;PL
anmerkungen	atsauksmes	anmerkingen	atsauksme	V;NFIN	N;NOM;FEM;PL
anmerkungen	anotācijas	anmerkingen	anotācija	V;NFIN	N;NOM;FEM;PL
posten	postenis	posten	postenis	V;FIN	N;NOM;MASC;SG
posten	amats	posten	amats	V;FIN	N;NOM;MASC;SG
posten	pasts	posten	pasts	V;FIN	
posten	post	posten	post	V;FIN	
posten	amati	posten	amats	V;FIN	N;NOM;MASC;PL
posten	ieraksti	posten	ierakste	V;FIN	N;NOM;MASC;PL
posten	amatu	posten	amats	V;FIN	N;ACC;MASC;SG
ideen	idejas	ide	ideja	V;NFIN	N;NOM;FEM;PL
ideen	domās	ide	doma	V;NFIN	N;ESS;FEM;PL
ideen	domas	ide	doma	V;NFIN	N;NOM;FEM;PL
gedanken	doma	panken	doma	V;NFIN	N;NOM;FEM;SG
gedanken	prātus	panken	prāts	V;NFIN	N;ACC;MASC;PL
gedanken	prāti	panken	prāts	V;NFIN	N;NOM;MASC;PL
gedanken	pārdomas	panken	pārdomas	V;NFIN	N;NOM;FEM;PL
gedanken	domās	panken	doma	V;NFIN	N;ESS;FEM;PL
gedanken	domas	panken	doma	V;NFIN	N;NOM;FEM;PL
bergen	bergenas	bergen	bergena	V;NFIN	PROPN;NOM;FEM;PL
einfachen	vienkārši	einfach	vienkārši	ADJ;ACC;SG	ADV
einfachen	vienkāršs	einfach	vienkāršs	ADJ;ACC;SG	ADJ;NOM;MASC;SG
einfachen	vienkārša	einfach	vienkārša	ADJ;ACC;SG	ADJ;NOM;FEM;SG
einfachen	vienkāršas	einfach	vienkārša	ADJ;ACC;SG	ADJ;NOM;FEM;PL
einfachen	vienkāršā	einfach	vienkārša	ADJ;ACC;SG	ADJ;NOM;FEM;SG
veranstaltung	notikums	veranstaltung	notikums	ADJ	N;NOM;MASC;SG
hinten	muguru	hinten	mugura	ADV	N;ACC;FEM;SG
hinten	mugura	hinten	mugura	ADV	N;NOM;FEM;SG
hinten	aizmugure	hinten	aizmugure	ADV	N;NOM;FEM;SG
hinten	aizmugures	hinten	aizmugure	ADV	N;NOM;FEM;PL
hinten	aizmugurē	hinten	aizmugure	ADV	N;ESS;FEM;SG
hinten	aizmugurējā	hinten	aizmugurējs	ADV	ADJ;ESS;FEM;SG
japanischer	japānas	japanisch	japāna	ADJ	PROPN;NOM;FEM;SG
japanischer	japāņu	japanisch	japānis	ADJ	N;GEN;MASC;PL
niederlanden	nīderlande	niederlinden	nīderlande	ADJ	PROPN;NOM;FEM;SG
niederlanden	nīderlandē	niederlinden	nīderlande	ADJ	PROPN;ESS;FEM;SG
verletzt	pāri	verletzen	pāri	V;V.PTCP	ADV
krankheit	slimība	krankheit	slimība	ADJ	N;NOM;FEM;SG
krankheit	slimības	krankheit	slimība	ADJ	N;NOM;FEM;PL
krankheit	slimība	krankheit	slimība	ADJ	N;NOM;FEM;SG
krankheit	slimības	krankheit	slimība	ADJ	N;NOM;FEM;PL
krankheit	slimībām	krankheit	slimība	ADJ	N;DAT;FEM;PL
krankheit	slimības	krankheit	slimība	ADJ	N;NOM;FEM;PL
krankheit	slimība	krankheit	slimība	ADJ	N;NOM;FEM;SG
ach	ach	ach	ach		
erweiterte	palielināti	erweitern	palielināt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
erweiterte	paplašinātas	erweitern	paplašināt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
erweiterte	vilktas	erweitern	vilkt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
erweiterte	paplašinātas	erweitern	paplašināt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
erweiterte	paplašināti	erweitern	paplašināt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
erweiterte	progresējošu	erweitern	progresēt	V;IND;SG;3;PST;FIN	V;IPFV;ACC;INDF;MASC;SG;PRS;V.PTCP;PASS
strecken	maršruti	strecken	maršruti	V;NFIN	N;NOM;MASC;PL
strecken	ceļi	strecken	ceļš	V;NFIN	N;NOM;MASC;PL
strecken	maršrutus	strecken	maršruts	V;NFIN	N;ACC;MASC;PL
unser	unser	unser	unsert	PRO;NOM;MASC;SG	
unser	mūsu	unser	mēs	PRO;NOM;MASC;SG	PRO;GEN;PL;1
unser	mūsu	unser	mēs	PRO;NOM;MASC;SG	PRO;GEN;PL;1
jung	jungs	jung	jungs	ADJ	
nationalpark	park	nationalpark	park	ADJ	
nationalpark	parkā	nationalpark	parks	ADJ	N;ESS;MASC;SG
nationalpark	parka	nationalpark	parks	ADJ	N;GEN;MASC;SG
nationalpark	parks	nationalpark	parks	ADJ	N;NOM;MASC;SG
sehenswürdigkeiten	ekskursiju	sehenswürdigkeiten	ekskursija	N;NOM;FEM;PL	N;ACC;FEM;SG
sehenswürdigkeiten	pieminekļu	sehenswürdigkeiten	piemineklis	N;NOM;FEM;PL	N;GEN;MASC;PL
johnson	džonsona	johnson	džonsons	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
jesus	jēzus	jesus	jēzs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
via	caur	via	caur		ADP
via	via	via	via		
königsberg	kēnigsbergas	königsberg	kēnigsberga	ADJ	N;NOM;FEM;PL
königsberg	kaļiņingradas	königsberg	kaļiņingrada	ADJ	N;NOM;FEM;PL
foundation	foundation	foundation	foundation	PROPN;NOM;SG	
foundation	pamats	foundation	pamats	PROPN;NOM;SG	N;NOM;MASC;SG
foundation	fonds	foundation	fonds	PROPN;NOM;SG	N;NOM;MASC;SG
umsetzung	realizētu	umsetzung	realizēt	N;NOM;FEM;SG	V;COND;POS;FIN;ACT
flügel	klavieres	flügeln	klaviere	ADJ	N;NOM;FEM;PL
flügel	spārni	flügeln	spārns	ADJ	N;NOM;MASC;PL
flügel	spārnus	flügeln	spārns	ADJ	N;ACC;MASC;PL
flügel	spārna	flügeln	spārns	ADJ	N;NOM;MASC;SG
flügel	spārnu	flügeln	spārns	ADJ	N;ACC;MASC;SG
rezeption	saņemšana	Rezeption	saņemšana		N;NOM;FEM;SG
rezeption	pieņemšana	Rezeption	pieņemšana		N;NOM;FEM;SG
rezeption	uzņemšana	Rezeption	uzņemšana		N;NOM;FEM;SG
kämpfen	cīņas	kämpfen	cīņa	V;NFIN	N;NOM;FEM;PL
kämpfen	cīņa	kämpfen	cīņa	V;NFIN	N;NOM;FEM;SG
kämpfen	cīņa	kämpfen	cīņa	V;NFIN	N;NOM;FEM;SG
kämpfen	cīņu	kämpfen	cīņa	V;NFIN	N;ACC;FEM;SG
kämpfen	cīņa	kämpfen	cīņa	V;NFIN	N;NOM;FEM;SG
baum	koku	baum	koks		N;ACC;MASC;SG
baum	koks	baum	koks		N;NOM;MASC;SG
baum	kokā	baum	koks		N;ESS;MASC;SG
abhängig	atkarīgi	abhängig	atkarīgi	ADJ	ADV
abhängig	atkarīgi	abhängig	atkarīgi	ADJ	ADV
abhängig	nosacīts	abhängig	nosacīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gewissen	sirdsapziņa	gewiß	sirdsapziņa		N;NOM;FEM;SG
gewissen	sirdsapziņu	gewiß	sirdsapziņa		N;ACC;FEM;SG
gewissen	apziņas	gewiß	apziņa		N;NOM;FEM;PL
steve	stīvs	steven	stīvs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ohio	ohaio	ohio	ohais	PROPN;NOM;MASC;SG	PROPN
mario	mario	mario	mario	PROPN;NOM;SG	PROPN
wahrheit	patiesība	wahrheit	patiesība		N;NOM;FEM;SG
wahrheit	patiesību	wahrheit	patiesība		N;ACC;FEM;SG
wahrheit	patiesības	wahrheit	patiesība		N;NOM;FEM;PL
istanbul	stambulas	istanbul	stambula	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;PL
istanbul	stambulā	istanbul	stambuls	PROPN;NOM;NEUT;SG	N;ESS;MASC;SG
uwe	uwe	uwe	uwe	PROPN;NOM;MASC;SG	
unabhängigkeit	neatkarība	unabhängigkeit	neatkarība	ADJ;SG	N;NOM;FEM;SG
gipfel	samitā	gipfel	samita	ADV	N;ESS;FEM;SG
gipfel	samits	gipfel	samits	ADV	N;NOM;MASC;SG
gipfel	maksimums	gipfel	maksimums	ADV	N;NOM;MASC;SG
gipfel	pīķa	gipfel	pīķis	ADV	N;NOM;MASC;SG
gipfel	maksimumu	gipfel	maksimums	ADV	N;ACC;MASC;SG
pop	iemet	pop	iemest	PROPN;NOM;SG	V;IMP;SG;2;POS;FIN;ACT
pop	pop	pop	pop	PROPN;NOM;SG	
vermeiden	izvairīšanās	vermeiden	izvairīšanās	V;NFIN	N;NOM;FEM;SG
church	baznīca	church	baznīca	PROPN	N;NOM;FEM;SG
church	baznīcas	church	baznīca	PROPN	N;NOM;FEM;PL
church	baznīcā	church	baznīca	PROPN	N;ESS;FEM;SG
bauer	bauer	Bauer	bauer	ADJ	
bauer	zemnieku	Bauer	zemnieks	ADJ	N;ACC;MASC;SG
aktive	aktīvais	aktiv	aktīvs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
aktive	aktīvs	aktiv	aktīvs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
aktive	aktīvi	aktiv	aktīvi	ADJ;NOM;FEM;PL	ADV
aktive	aktīva	aktiv	aktīva	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
aktive	aktīvā	aktiv	aktīva	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
denkmalschutz	piemineklis	denkmalschutz	piemineklis	ADJ	N;NOM;MASC;SG
denkmalschutz	pieminekļa	denkmalschutz	piemineklis	ADJ	N;GEN;MASC;SG
denkmalschutz	mantojums	denkmalschutz	mantojums	ADJ	N;NOM;MASC;SG
denkmalschutz	mantojuma	denkmalschutz	mantojums	ADJ	N;GEN;MASC;SG
rosa	rozā	rosa	rozā	PROPN	N
rosa	rosa	rosa	rosa	PROPN	PROPN;NOM;FEM;SG
rosa	roza	rosa	roza	PROPN	PROPN;NOM;FEM;SG
bundes	federālā	bund	federāla		ADJ;NOM;FEM;SG
bundes	federālais	bund	federāls		ADJ;NOM;MASC;SG
bundes	bund	bund	bund		
