और	un	और	un		CONJ
कर्तव्य	maksājuma	कर्तव्य	maksājums	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कर्तव्य	nodokļi	कर्तव्य	nodoklis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कर्तव्य	nodevas	कर्तव्य	nodeva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कर्तव्य	pienākumi	कर्तव्य	pienākums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
केबल	kabeļi	केबल	kabelis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
केबल	kabeļi	केबल	kabelis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
केबल	kabeļu	केबल	kabelis	N;NOM;MASC;SG;3	N;ACC;MASC;PL
सिडनी	sidnejas	सिडनी	sidneja	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
परिचालन	darbības	परिचालन	darbība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परिचालन	operācijas	परिचालन	operācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
हाइड्रोकार्बन	ogļūdeņraži	हाइड्रोकार्बन	ogļūdeņradis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
हाइड्रोकार्बन	ogļūdeņražu	हाइड्रोकार्बन	ogļūdeņrada	N;NOM;MASC;SG;3	N;GEN;MASC;PL
हाइड्रोकार्बन	ogļūdeņraža	हाइड्रोकार्बन	ogļūdeņraža	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कश्मीरी	kašmiras	कश्मीरी	kašmira	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्वप्न	sapņot	स्वप्न	sapņot	N;NOM;MASC;SG;3	V;POS;NFIN
प्रसिद्धि	slavas	प्रसिद्धि	slava	N;NOM;FEM;SG;3	N;NOM;FEM;PL
प्रसिद्धि	fame	प्रसिद्धि	fame	N;NOM;FEM;SG;3	
अपराधी	noziedzīgu	अपराधी	noziedzīgs	N;NOM;MASC;PL;3	ADJ;ACC;MASC;SG
अपराधी	noziedznieks	अपराधी	noziedznieks	N;NOM;MASC;PL;3	N;NOM;MASC;SG
अपराधी	vainīgs	अपराधी	vainīgs	N;NOM;MASC;PL;3	ADJ;NOM;MASC;SG
अपराधी	vainīgi	अपराधी	vainīgi	N;NOM;MASC;PL;3	ADV
अपराधी	vainīga	अपराधी	vainīga	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
दुकान	veikalā	दुकान	veikals	N;NOM;FEM;SG;3	N;ESS;MASC;SG
दुकान	veikala	दुकान	veikals	N;NOM;FEM;SG;3	N;GEN;MASC;SG
नियत	komplekts	नियत	komplekts		N;NOM;MASC;SG
नियत	kopa	नियत	kopt		N;NOM;FEM;SG
नियत	uzstādīt	नियत	uzstādīt		V;POS;NFIN
सर्जरी	operācijas	सर्जरी	operācija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्वरुप	formāti	स्वरुप	formāts	N;NOM;MASC;SG;3	N;NOM;MASC;PL
भयंकर	briesmīgi	भयंकर	briesmīgi		ADV
भयंकर	šausmīgi	भयंकर	šausmīgi		ADV
भयंकर	drausmīgi	भयंकर	drausmīgi		ADV
भयंकर	šausmīgi	भयंकर	šausmīgi		ADV
धमनी	artērijas	धमनी	artērija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
धमनी	artēriju	धमनी	artērija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
आर्थर	arturs	आर्थर	arturs	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
आर्थर	artūrs	आर्थर	artūrs	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
डाउनलोड	lejupielādes	डाउनलोड	lejupielāde	N;NOM;MASC;SG;3	N;NOM;FEM;PL
डाउनलोड	lejupielādēt	डाउनलोड	lejupielādēt	N;NOM;MASC;SG;3	V;POS;NFIN
डाउनलोड	lejupielādes	डाउनलोड	lejupielāde	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नीदरलैंड	nīderlande	नीदरलैंड	nīderlande	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
नीदरलैंड	nīderlandē	नीदरलैंड	nīderlande	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
धर्मों	reliģijām	धर्म	reliģija	N;ACC;MASC;PL;3	N;DAT;FEM;PL
धर्मों	reliģijas	धर्म	reliģija	N;ACC;MASC;PL;3	N;NOM;FEM;PL
प्रशंसकों	fani	प्रशंसक	fans	N;ACC;MASC;PL;3	N;NOM;MASC;PL
प्रशंसकों	faniem	प्रशंसक	fans	N;ACC;MASC;PL;3	N;DAT;MASC;PL
प्रशंसकों	līdzjutējiem	प्रशंसक	līdzjutējs	N;ACC;MASC;PL;3	N;DAT;MASC;PL
प्रशंसकों	ventilatori	प्रशंसक	ventilators	N;ACC;MASC;PL;3	N;NOM;MASC;PL
घाव	brūces	घाव	brūce	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्पोर्ट्स	sporta	स्पोर्ट	sports	N;NOM;MASC;PL;3	N;GEN;MASC;SG
स्पोर्ट्स	sports	स्पोर्ट	sports	N;NOM;MASC;PL;3	N;NOM;MASC;SG
क्रॉस	krustu	क्रॉस	krustu		N;ACC;MASC;SG
क्रॉस	krusta	क्रॉस	krusts		N;NOM;MASC;SG
क्रॉस	krusts	क्रॉस	krusts		N;NOM;MASC;SG
साप्ताहिक	nedēļas	साप्ताहिक	nedēļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
साप्ताहिक	nedēļā	साप्ताहिक	nedēļa	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अनुभूति	sajūtas	अनुभूति	sajūta	N;NOM;FEM;SG;3	N;NOM;FEM;PL
मेजर	maj	मेजर	mēja	N;NOM;MASC;SG;3	
स्वतः	auto	स्वतः	auto		N
स्टीव	stīvs	स्टीव	stīvs	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
थिएटर	teātri	थिएटर	teātris	N;NOM;MASC;SG;3	N;NOM;MASC;PL
थिएटर	teātru	थिएटर	teātris	N;NOM;MASC;SG;3	N;GEN;MASC;PL
थिएटर	teātrī	थिएटर	teātris	N;NOM;MASC;SG;3	N;ESS;MASC;SG
थिएटर	teātra	थिएटर	teātris	N;NOM;MASC;SG;3	N;GEN;MASC;SG
दूरसंचार	telekomunikācijas	दूरसंचार	telekomunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दूरसंचार	telekomunikāciju	दूरसंचार	telekomunikācija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दूरसंचार	telekomunikācijas	दूरसंचार	telekomunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दूरसंचार	telekomunikāciju	दूरसंचार	telekomunikācija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दूरसंचार	telekomunikācijām	दूरसंचार	telekomunikācija	N;NOM;MASC;SG;3	N;DAT;FEM;PL
खपत	patērētā	खपत	patērēt	N;NOM;FEM;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
खपत	patērēts	खपत	patērēt	N;NOM;FEM;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
खपत	patērē	खपत	patērēt	N;NOM;FEM;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
चक्कर	reiboni	चक्कर	reibonis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
परिवेश	apkārtnes	परिवेश	apkārtne	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परिवेश	apkārtni	परिवेश	apkārtne	N;NOM;MASC;SG;3	N;ACC;FEM;SG
परिवेश	apkārtējā	परिवेश	apkārtēja	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रोकथाम	profilaksei	रोकथाम	profilakse	N;NOM;FEM;SG;3	N;DAT;FEM;SG
सदियों	gadsimtiem	सदी	gadsimts	N;ACC;FEM;PL;3	N;DAT;MASC;PL
गुलाब	rozes	गुलाब	roze	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
गुलाब	roze	गुलाब	roze	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
झिल्ली	membrānas	झिल्ली	membrāna	N;NOM;FEM;SG;3	N;NOM;FEM;PL
झिल्ली	membrānu	झिल्ली	membrāns	N;NOM;FEM;SG;3	N;ACC;MASC;SG
भालू	koala	भालू	koals	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
भालू	lācis	भालू	lākt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
भालू	lāča	भालू	lācis	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
भालू	lāci	भालू	lāce	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
दूरदर्शन	televīzijas	दूरदर्शन	televīzija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सोमवार	pirmdienās	सोमवार	pirmdiena	PROPN;NOM;MASC;SG;3	N;ESS;FEM;PL
सोमवार	pirmdien	सोमवार	pirmdien	PROPN;NOM;MASC;SG;3	ADV
सोमवार	pirmdienā	सोमवार	pirmdiena	PROPN;NOM;MASC;SG;3	N;ESS;FEM;SG
सोमवार	pirmdiena	सोमवार	pirmdiena	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
सर्दियों	ziemā	सर्दी	ziema	N;ACC;FEM;PL;3	N;ESS;FEM;SG
सर्दियों	ziema	सर्दी	ziema	N;ACC;FEM;PL;3	N;NOM;FEM;SG
सर्दियों	ziemai	सर्दी	ziema	N;ACC;FEM;PL;3	N;DAT;FEM;SG
इलेक्ट्रिक	elektriskais	इलेक्ट्रिक	elektrisks	N;NOM	ADJ;NOM;MASC;SG
इलेक्ट्रिक	elektriskās	इलेक्ट्रिक	elektriska	N;NOM	ADJ;NOM;FEM;PL
इलेक्ट्रिक	elektriskie	इलेक्ट्रिक	elektrisks	N;NOM	ADJ;NOM;MASC;PL
इलेक्ट्रिक	elektriskā	इलेक्ट्रिक	elektriska	N;NOM	ADJ;NOM;FEM;SG
इलेक्ट्रिक	elektrisko	इलेक्ट्रिक	elektriska	N;NOM	ADJ;ACC;MASC;SG
मक्का	meku	मक्का	meks	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
मक्का	kukurūzas	मक्का	kukurūza	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
मक्का	kukurūza	मक्का	kukurūza	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
आस्था	ticībā	आस्था	ticība	N;NOM;FEM;SG;3	N;ESS;FEM;SG
आस्था	ticību	आस्था	ticība	N;NOM;FEM;SG;3	N;ACC;FEM;SG
अफगानिस्तान	afganistāna	अफगानिस्तान	afganistāna	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
निष्पादन	darbināt	निष्पादन	darbināt	N;NOM;MASC;SG;3	V;POS;NFIN
निष्पादन	izpildīt	निष्पादन	izpildīt	N;NOM;MASC;SG;3	V;POS;NFIN
निष्पादन	izpilda	निष्पादन	izpilst	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
पहचाना	identificēti	पहचान	identificēt	V;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
पहचाना	atzītas	पहचान	atzīt	V;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
पहचाना	atzīti	पहचान	atzīt	V;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
वाहक	pārvadātājs	वाहक	pārvadātājs		N;NOM;MASC;SG
वाहक	kabīne	वाहक	kabīne		N;NOM;FEM;SG
वाहक	nesējs	वाहक	nesējs		N;NOM;MASC;SG
वाहक	pārvadātāji	वाहक	pārvadātājs		N;NOM;MASC;PL
वाहक	nesēji	वाहक	nesējs		N;NOM;MASC;PL
वाहक	pārvadātājiem	वाहक	pārvadātājs		N;DAT;MASC;PL
अभिक्रिया	reakcijas	अभिक्रिया	reakcija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सुनने	dzirde	सुन	dzirde	V;NFIN;ACT	N;NOM;FEM;SG
भ्रमण	tour	भ्रमण	tour	N;NOM;MASC;SG;3	
भ्रमण	odisejā	भ्रमण	odiseja	N;NOM;MASC;SG;3	N;ESS;FEM;SG
हड्डी	kaulu	हड्डी	kauls	N;NOM;FEM;SG;3	N;ACC;MASC;SG
तन्त्र	sistēmu	तन्त्र	sistēma	N;NOM;MASC;SG;3	N;ACC;FEM;SG
तन्त्र	sistēmas	तन्त्र	sistēma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तन्त्र	programmatūru	तन्त्र	programmatūra	N;NOM;MASC;SG;3	N;ACC;FEM;SG
तन्त्र	programmatūrai	तन्त्र	programmatūra	N;NOM;MASC;SG;3	N;DAT;FEM;SG
तन्त्र	programmatūras	तन्त्र	programmatūra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
वक्र	līknes	वक्र	līkne	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरातत्व	arheoloģijas	पुरातत्व	arheoloģija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरातत्व	arheoloģija	पुरातत्व	arheoloģija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
वरुण	varuna	वरुण	varuna	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
वरुण	neptūns	वरुण	neptūns	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
आजाद	bezmaksas	आजाद	bezmaksa	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
आजाद	brīva	आजाद	brīva	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आजाद	free	आजाद	free	PROPN;NOM;MASC;SG;3	
आजाद	brīvs	आजाद	brīvs	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
आजाद	azad	आजाद	azad	PROPN;NOM;MASC;SG;3	
कॉर्पोरेट	korporatīvā	कॉर्पोरेट	korporatīva	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आयाम	amplitūdas	आयाम	amplitūda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आयाम	dimensijas	आयाम	dimensija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आयाम	izmēri	आयाम	izmēre	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आयाम	gabarīti	आयाम	gabarīte	N;NOM;MASC;SG;3	N;NOM;MASC;PL
जादू	maģija	जादू	maģija		N;NOM;FEM;SG
जादू	burvība	जादू	burvība		N;NOM;FEM;SG
कोच	treneru	कोच	treneris	N;NOM;MASC;SG;3	N;ACC;MASC;SG
कोच	vagoni	कोच	vagons	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कोच	treneri	कोच	treneris	N;NOM;MASC;SG;3	N;ACC;MASC;SG
बंदी	ieslodzīto	बंदी	ieslodzīt		V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
ऑक्सफोर्ड	oksfordas	ऑक्सफोर्ड	oksforda	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;PL
वाद	tiesvedības	वाद	tiesvedība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निधि	fondi	निधि	fonds	N;NOM;FEM;SG;3	N;NOM;MASC;PL
निधि	fonda	निधि	fonds	N;NOM;FEM;SG;3	N;GEN;MASC;SG
पैसा	naudu	पैसा	nauda	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पैसा	naudas	पैसा	nauda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
लोहा	dzelzi	लोहा	dzelze		N;ACC;FEM;SG
लोहा	dzelzs	लोहा	dzelt		N;NOM;MASC;SG
स्मरण	atceres	स्मरण	atcere	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्मरण	piemiņas	स्मरण	piemiņa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सेतु	tilta	सेतु	tilts	N;NOM;MASC;SG;3	N;GEN;MASC;SG
छिद्र	poras	छिद्र	pora	N;NOM;MASC;SG;3	N;NOM;FEM;PL
फ़ोन	tālruņi	फोोन	tālrunis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
फ़ोन	telefoni	फोोन	telefonis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
अवकाश	brīvdienu	अवकाश	brīvdiena	N;NOM;MASC;SG;3	N;ACC;FEM;SG
अवकाश	brīvdienas	अवकाश	brīvdiena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अवकाश	atpūtā	अवकाश	atpūt	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अवकाश	brīvdienas	अवकाश	brīvdiena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अवकाश	brīvdienām	अवकाश	brīvdiena	N;NOM;MASC;SG;3	N;DAT;FEM;PL
मुलाकात	iecelšanu	मुलाकात	iecelšana	N;NOM;FEM;SG;3	N;ACC;FEM;SG
बुरा	ļauni	बुरा	ļauni	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
बुरा	ļaunums	बुरा	ļaunums	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
बुरा	ļaunumu	बुरा	ļaunums	ADJ;NOM;MASC;SG	N;ACC;MASC;SG
अफ़्रीकी	āfrikas	अफ़्रीकी	āfrika	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ब्रेक	lauzt	ब्रेक	lauzt	N;NOM;MASC;SG;3	V;POS;NFIN
ब्रेक	salauzt	ब्रेक	salauzt	N;NOM;MASC;SG;3	V;POS;NFIN
ब्रेक	pārtraukumi	ब्रेक	pārtraukums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
ब्रेक	pārtraukumus	ब्रेक	pārtraukums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
ब्रेक	bremzes	ब्रेक	bremze	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ब्रेक	bremžu	ब्रेक	bremžs	N;NOM;MASC;SG;3	N;ACC;FEM
एक्सचेंज	apmaiņas	एक्सचेंज	apmaiņa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पतली	plānas	पतला	plāna	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
बिन	bin	बिन	bin	PROPN;NOM;MASC;SG;3	
न्यूज़	jaunumi	न्यूज़	jaunums		N;NOM;MASC;PL
न्यूज़	ziņas	न्यूज़	ziņa		N;NOM;FEM;PL
जलप्रपात	nokrīt	जलप्रपात	nokrist	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
जलप्रपात	krīt	जलप्रपात	krist	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
जलप्रपात	iekrīt	जलप्रपात	iekrist	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
समर्थ	spējīgs	समर्थ	spējīgs		ADJ;NOM;MASC;SG
समर्थ	spēj	समर्थ	spēt		V;FH;IND;3;POS;PRS;FIN;ACT
टॉप	top	टॉप	tapt		V;FH;IND;3;POS;PRS;FIN;ACT
टॉप	tops	टॉप	tops		N;NOM;MASC;SG
टॉप	augšējā	टॉप	augšēja		ADJ;NOM;FEM;SG
टॉप	augšējais	टॉप	augšējs		ADJ;NOM;MASC;SG
टॉप	galotnēm	टॉप	galotne		N;DAT;FEM;PL
प्रिंस	princis	प्रिंस	princis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
सशस्त्र	bruņots	सशस्त्र	bruņots	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सशस्त्र	bruņota	सशस्त्र	bruņots	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सशस्त्र	bruņotajiem	सशस्त्र	bruņots	N;NOM;MASC;SG;3	ADJ;DAT;MASC;PL
सशस्त्र	bruņoti	सशस्त्र	bruņots	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
नारी	sieviete	नारी	sieviete		N;NOM;FEM;SG
नारी	sievieti	नारी	sieviete		N;ACC;FEM;SG
हार्ड	cieto	हार्ड	cietot		ADJ;ACC;MASC;SG
हार्ड	smagi	हार्ड	smags		ADV
हार्ड	cietās	हार्ड	cieta		ADJ;NOM;FEM;PL
हार्ड	grūti	हार्ड	grūti		ADV
हार्ड	cietais	हार्ड	ciets		ADJ;NOM;MASC;SG
वसंत	pavasaris	वसंत	pavasaris	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बपतिस्मा	kristības	बपतिस्मा	kristība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
रचयिता	autori	रचयिता	autors	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रचयिता	autoriem	रचयिता	autors	N;NOM;MASC;SG;3	N;DAT;MASC;PL
यकृत	aknu	यकृत	akna	N;NOM;MASC;SG;3	N;ACC;MASC;SG
यकृत	aknas	यकृत	akna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मेन	galvenais	मेन	galvenais		ADJ;NOM;MASC;SG
मेन	galvenās	मेन	galvenā		ADJ;NOM;FEM;PL
मेन	galvenā	मेन	galvenā		ADJ;NOM;FEM;SG
मेन	vīriešiem	मेन	vīrietis		N;DAT;MASC;PL
मेन	vīri	मेन	vīrs		N;NOM;MASC;PL
मेन	vīrieši	मेन	vīrietis		N;NOM;MASC;PL
डेनमार्क	dānijā	डेनमार्क	dānija	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
डेनमार्क	dānija	डेनमार्क	dānija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
ऑपरेटिंग	darbojas	ऑपरेटिंग	darboties	PROPN;NOM	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
लाइब्रेरी	bibliotēkas	लाइब्रेरी	bibliotēka	N;NOM;FEM;SG;3	N;NOM;FEM;PL
लाइब्रेरी	bibliotēkā	लाइब्रेरी	bibliotēka	N;NOM;FEM;SG;3	N;ESS;FEM;SG
लाइब्रेरी	bibliotēku	लाइब्रेरी	bibliotēka	N;NOM;FEM;SG;3	N;ACC;FEM;SG
लाइब्रेरी	bibliotēkas	लाइब्रेरी	bibliotēka	N;NOM;FEM;SG;3	N;NOM;FEM;PL
एलन	alens	एलन	alens	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
एलन	alan	एलन	alan	PROPN;NOM;MASC;SG;3	
जॉनी	džonijs	जॉनी	džonijs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जॉनी	džonijs	जॉनी	džonijs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
प्राप्तकर्ता	saņēmēja	प्राप्तकर्ता	saņēmējs	N;NOM;MASC;SG;3	N;GEN;MASC;SG
प्राप्तकर्ता	saņēmēji	प्राप्तकर्ता	saņēmējs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्राप्तकर्ता	saņēmējiem	प्राप्तकर्ता	saņēmējs	N;NOM;MASC;SG;3	N;DAT;MASC;PL
मरम्मत	remonta	मरम्मत	remonts	N;NOM;FEM;SG;3	N;GEN;MASC;SG
मरम्मत	remontu	मरम्मत	remonts	N;NOM;FEM;SG;3	N;ACC;MASC;SG
मरम्मत	remontdarbi	मरम्मत	remontdarbi	N;NOM;FEM;SG;3	N;NOM;MASC;PL
मरम्मत	remonti	मरम्मत	remonts	N;NOM;FEM;SG;3	N;NOM;MASC;PL
बचत	ietaupījumus	बचत	ietaupījums	N;NOM;FEM;SG;3	N;ACC;MASC;PL
बचत	uzkrājumi	बचत	uzkrājums	N;NOM;FEM;SG;3	N;NOM;MASC;PL
ज़ी	zinu	जा	zināt	PROPN;NOM;MASC;SG;3	V;FH;IND;SG;1;POS;PRS;FIN;ACT
प्रदर्शनी	izstādē	प्रदर्शनी	izstāde	N;NOM;FEM;SG;3	N;ESS;FEM;SG
प्रदर्शनी	izstādes	प्रदर्शनी	izstāde	N;NOM;FEM;SG;3	N;NOM;FEM;PL
पोशाक	kleitas	पोशाक	kleita	N;NOM;FEM;SG;3	N;NOM;FEM;PL
नैतिकता	ētikas	नैतिकता	ētika	N;NOM;FEM;SG;3	N;NOM;FEM;PL
नैतिकता	morāli	नैतिकता	morāli	N;NOM;FEM;SG;3	ADV
नैतिकता	morāli	नैतिकता	morāli	N;NOM;FEM;SG;3	ADV
युक्ति	tip	युक्ति	tipēt	N;NOM;FEM;SG;3	
युक्ति	ierīces	युक्ति	ierīce	N;NOM;FEM;SG;3	N;NOM;FEM;PL
मशीनों	iekārtas	मशीन	iekārta	N;ACC;FEM;PL;3	N;NOM;FEM;PL
मशीनों	mehānismi	मशीन	mehānisms	N;ACC;FEM;PL;3	N;NOM;MASC;PL
मशीनों	tehnika	मशीन	tehnika	N;ACC;FEM;PL;3	N;NOM;FEM;SG
मशीनों	mašīnas	मशीन	mašīna	N;ACC;FEM;PL;3	N;NOM;FEM;PL
मशीनों	mašīnas	मशीन	mašīna	N;ACC;FEM;PL;3	N;NOM;FEM;PL
तुलसी	bazilika	तुलसी	bazilika	PROPN;NOM;SG;3	N;NOM;FEM;SG
भूमिगत	pazemē	भूमिगत	pazeme	ADJ;NOM	N;ESS;FEM;SG
भूमिगत	pazemes	भूमिगत	pazeme	ADJ;NOM	N;NOM;FEM;PL
मोटी	biezas	मोटा	bieza	ADJ;FEM;SG	ADJ;NOM;FEM;PL
मोटी	biezi	मोटा	biezs	ADJ;FEM;SG	ADV
मोटी	tauki	मोटा	tauki	ADJ;FEM;SG	N;NOM;MASC
मोटी	tauku	मोटा	tauki	ADJ;FEM;SG	N;ACC;MASC
मोटी	taukiem	मोटा	tauki	ADJ;FEM;SG	N;DAT;MASC
अखबार	laikraksta	अखबार	laikraksts	N;NOM;MASC;SG;3	N;GEN;MASC;SG
अखबार	avīzē	अखबार	avīze	N;NOM;MASC;SG;3	N;ESS;FEM;SG
स्टोन	akmens	स्टोन	akmens	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मल	izkārnījumiem	मल	izkārnījums		N;DAT;MASC;PL
मल	izkārnījumi	मल	izkārnījums		N;NOM;MASC;PL
मकान	mājā	मकान	māja	N;NOM;MASC;SG;3	N;ESS;FEM;SG
मकान	mājas	मकान	māja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मकान	mājiņas	मकान	mājiņa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एचआईवी	hiv	एचआईवी	hiv	PROPN;NOM;MASC;SG;3	N
अटलांटिक	atlantijas	अटलांटिक	atlantija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
